ANO;MES;DIA;SEXO;PERIODO;CODIGO;DESCRICAO;UNIDADE_MEDIDA;CATEGORIA;PRECO_UNITARIO;QTD_VENDIDAS;VALOR_VENDIDO
2014;12;3;F;NOITE;3098-R-06603;AROMATIZANTE RODABRISA 7ML AIR MARI;UN;9984248;5.36;8.00;42.88 
2014;5;27;F;TARDE;3102-G-20184;FACA CATUAI LEGUMES INOX N5;UN;1291128;2.23;6.00;13.38 
2013;2;16;F;NOITE;3102-R-05906;COOKIES KOBBER 150G GRANOLA TRAD;UN;135091;2.01;18.00;36.18 
2015;12;8;F;MANHÃ;3103-Z-24117;TIGELA 350 ML CORES ERCAPLAST;UN;14293;0.37;34.00;12.58 
2014;5;22;F;NOITE;3105-F-01738;BEBEZINHO PANCO 210G LARANJA;UN;9025091;2.84;33.00;93.85 
2013;10;5;F;NOITE;3105-G-15300;KIT COADOR PLAST ALVES C/3;UN;14293;1.37;36.00;49.14 
2013;8;30;F;NOITE;3107-T-05344;DOCE DE BANANA MOCOVIT 200G;UN;9997002;1.09;130.00;141.70 
2013;5;22;M;MANHÃ;3108-A-03441;FORMA P/PIZZA GUIMA N.35;UN;15167;5.93;4.00;23.72 
2014;12;30;F;MANHÃ;3109-A-11738;LENCOS UMED RUBY ROSE DEMAQ 19X18;UN;97033;4.29;6.00;25.74 
2015;5;20;M;NOITE;3109-A-11738;LENCOS UMED RUBY ROSE DEMAQ 19X18;UN;911043;3.50;8.00;28.00 
2015;4;27;F;MANHÃ;3110-R-17288;PORTA SABAO PO PLASUTIL 787;UN;94293;6.45;6.00;38.67 
2013;4;17;M;MANHÃ;3111-Y-23121;SBT DOVE LIQ 250ML GO FRESH REVIT.;UN;1021043;4.16;4.00;16.64 
2014;1;16;M;MANHÃ;3112-C-14691;BALDE PLASUTIL R356;UN;94293;5.82;2.00;11.64 
2013;1;4;F;TARDE;3113-A-10746;COND FRUCTIS 200ML BRILHO VITAM;UN;95033;3.74;7.00;26.18 
2013;10;15;F;TARDE;3113-X-10715;COBERTURA MARVI DIET 300G CHOC;UN;96081;4.94;11.00;54.34 
2014;11;20;F;MANHÃ;3113-Y-17075;CERA DEPILBELLA QUENTE 250G PRO/MEL;UN;9027033;3.65;3.00;10.95 
2013;1;5;M;NOITE;3113-Z-04588;MB BOLO BOA SORTE 400G LARANJA NV;UN;21091;1.04;30.00;31.20 
2013;10;24;F;MANHÃ;3114-Z-13559;CERV. WELTENBUR KLOST BAROCK 500ML;UN;3022;5.50;17.00;93.50 
2015;12;27;F;TARDE;3115-Q-07249;PULVERIZADOR GUARANY VERDE 300ML;UN;9984248;1.59;11.00;17.49 
2014;3;19;F;NOITE;3118-E-06800;CREME NOVEX 1KG TRAT AZEITE OLIVA;UN;95033;5.72;7.00;40.04 
2014;1;11;M;NOITE;3118-H-10742;CREME ELSEVE 250ML QUERA SOLTO;UN;95033;4.90;13.00;63.70 
2013;2;22;M;TARDE;3119-P-02587;COMEDOURO AGROVET P/CAES PQ;UN;9096293;3.31;20.00;66.15 
2014;4;13;F;TARDE;3120-F-14608;FORMA MARINEX SOUFLE PEQ 638441;UN;9243107;6.16;2.00;12.32 
2014;2;27;F;TARDE;3120-G-15044;FEIJAO JALO ROXO KG;KG;99333170;3.74;8.00;29.92 
2014;12;26;F;TARDE;3120-M-10003;FRASQUEIRA OVAL NITRONPLAST;UN;1212024;7.94;2.00;15.88 
2013;3;23;M;MANHÃ;3120-O-10355;DSF VIM CLORO ADTIVADO 300ML ORIG;UN;22043;1.40;14.00;19.60 
2014;5;27;F;NOITE;3122-B-12729;SH HEAD SHOULDERS 200ML ANT REVITAL;UN;15033;4.42;7.00;30.94 
2015;12;3;M;NOITE;3122-J-19182;ESPANADOR SHANGRILA N20;UN;93069;3.20;10.00;32.00 
2014;1;27;F;MANHÃ;3123-K-20947;TOALHA BRUTEX BANHO JACQUARDT;UN;62036;4.47;3.00;13.41 
2015;7;27;F;NOITE;3127-I-10999;COOKIES GRANPURE 100G SENSE CHOC;UN;135091;3.41;4.00;13.64 
2015;8;19;M;NOITE;3127-I-20827;JARRA PLASVALE 1.75L;UN;14293;2.14;8.00;17.12 
2013;8;16;M;NOITE;3129-A-12262;CANETA BIC CRISTAL P FINA C/3 AZ/PR;UN;18069;2.35;34.00;79.82 
2014;12;5;F;TARDE;3130-X-11220;LIXEIRA VIEL C/PEDAL CORPO/TAMP 12L;UN;94293;10.79;2.00;21.58 
2013;5;4;M;TARDE;3132-D-13968;TABUA VIDRO 20X30 DECOR RET DMH4026;UN;143107;2.90;7.00;20.30 
2013;6;9;F;MANHÃ;3134-Y-10798;SOPA VONO T MONICA 60G GAL C/MAC;UN;11014012;1.47;65.00;95.68 
2014;1;19;M;TARDE;3135-B-11831;CURATIVOS CLIN OFF C/35;UN;9015003;2.23;44.00;98.12 
2015;4;28;M;NOITE;3136-L-20626;CJ POTE JAGUAR QUAD BARCELONA C/5;UN;14293;1.33;12.00;15.96 
2014;1;13;M;NOITE;3137-V-24664;SAND IPANEMA STAR ADULTO AZUL/AZUL;UN;22046;9.99;1.00;9.99 
2014;4;24;M;TARDE;3139-J-10527;TOALHA BRUTEX ROSTO KARINA;UN;62036;2.59;14.00;36.19 
2014;10;12;F;TARDE;3141-J-23446;ESCOVA ANATOMICA PREMIUM 301/L;UN;93069;0.90;13.00;11.70 
2013;3;26;M;NOITE;3142-R-08974;CEREJA MARINA PORTO CALDA 90G;UN;1068002;3.22;9.00;28.98 
2013;9;26;M;TARDE;3142-X-08611;ESPUMANTE SALTON SECO 660ML;UN;1014022;8.03;6.00;48.18 
2014;4;16;F;NOITE;3143-H-10085;GARRAFA TERM ALADDIN FUTURA 750 PRE;UN;1007169;10.94;3.00;32.82 
2015;9;28;M;MANHÃ;3143-S-14487;ASSENTO SANIT MEBUKI CARAMELO;UN;22293;8.56;8.00;68.48 
2015;7;30;M;NOITE;3145-M-01138;SAGU YOKI MORANGO 250G;UN;3091;2.13;30.00;63.75 
2013;3;3;F;TARDE;3145-U-02143;PIPOQUEIRA GUIMA N.20;UN;15167;8.07;3.00;24.21 
2014;7;29;F;NOITE;3146-D-00255;ASSADEIRA NIGRO ALTA 2 RETANG;UN;15167;9.01;3.00;27.03 
2013;4;18;M;TARDE;3147-F-17955;PAO MEL HUE ZERO ACU S/LACTOSE 80G;UN;135091;3.93;22.00;86.46 
2015;3;20;F;NOITE;3147-F-17955;PAO MEL HUE ZERO ACU S/LACTOSE 80G;UN;9095091;3.79;7.00;26.53 
2013;3;5;F;TARDE;3148-U-21686;PORTA RETRATO BORDA DEC 15X20 1916;UN;46293;3.10;15.00;46.50 
2014;9;20;M;TARDE;3150-O-11044;SBT ALMA DE FLORES 130G LOVE/SWEET;UN;9111043;1.13;71.00;79.99 
2014;4;3;F;MANHÃ;3152-H-20628;CJ POTE JAGUAR RET SALVADOR C/5;UN;14293;1.33;11.00;14.63 
2013;6;21;M;TARDE;3153-J-08530;POTE SANREMO REDONDO 440ML 06/6;UN;14293;1.44;8.00;11.52 
2013;1;27;M;TARDE;3155-W-23620;SABONETEIRA VENTOSA 501/9501 BRANCA;UN;94293;0.87;15.00;13.05 
2015;1;13;M;NOITE;3156-G-21303;GENGIBRE CRISTALIZADO KG;UN;110190;13.08;2.80;36.62 
2013;8;17;M;MANHÃ;3156-S-15383;TORTEIRA C/TPA MB MEDIA RF0447;UN;14293;1.85;6.00;11.10 
2014;10;9;M;NOITE;3157-J-22543;NATAMEL LAC LELO POTE 250G;UN;3922040;2.09;8.00;16.72 
2013;1;12;M;MANHÃ;3158-C-17519;SEMORIN ALVEJANTE S/CLORO 2L;UN;91498083;4.75;11.00;52.20 
2014;12;23;F;MANHÃ;3158-X-01953;MISTURA P/EMPANAR YOKI 300G;UN;9091091;2.90;7.00;20.30 
2014;7;7;F;NOITE;3159-D-19865;CONJ MANTIMENTO DECOR C/5;UN;14293;6.67;2.00;13.34 
2013;5;2;M;NOITE;3162-U-03831;QUEROSENE APACHE 500ML;UN;91910172;2.89;11.00;31.79 
2013;6;29;M;MANHÃ;3162-Y-18417;PAPINHA NESTLE 120G AMEIXA NOVA;UN;24012;1.65;36.00;59.22 
2014;3;19;F;NOITE;3163-M-04988;PRATO PLAST FESTLAR 15CM AZL C/10;UN;14293;0.84;33.00;27.72 
2014;3;28;F;MANHÃ;3166-P-17883;POTE VERSATIL QUADRADO JAGUAR 3L;UN;14293;2.34;10.00;23.40 
2015;4;30;M;MANHÃ;3167-S-24019;SABONETEIRA PARIS FLOR 450ML FOUR P;UN;94293;1.63;8.00;13.04 
2013;9;24;M;NOITE;3168-C-07711;CHOC. GAROTO 16G BATON LEITE;UN;1236081;0.29;54.00;15.66 
2014;11;17;F;MANHÃ;3168-N-10454;GLADE AUTOMATIC RF 269ML;UN;947033;9.84;3.00;29.52 
2015;1;11;M;NOITE;3168-S-07238;FLAN NARURIS SOJA CARAMELO C/2;UN;9096012;1.11;76.00;84.61 
2013;7;25;F;NOITE;3169-J-09508;GELATINA KODILAR 12G VERDE/LIMAO;UN;92096012;0.69;155.00;107.57 
2015;2;1;M;MANHÃ;3169-R-12337;BARRA CEREAL TRIO PROT 99G CHOC;UN;96081;4.02;14.00;56.28 
2014;3;15;F;NOITE;3170-S-05830;SEQUILHO EKAMI 160G;UN;135091;1.45;41.00;59.45 
2013;4;18;F;NOITE;3171-B-06320;NECTAR SUFRESH 200ML LARANJA;UN;92022;0.59;48.00;28.32 
2013;4;4;F;MANHÃ;3171-P-06614;COND SEDA 350ML NV CRESC SAUDAVEL;UN;95033;3.86;4.00;15.44 
2015;10;30;M;NOITE;3173-B-11630;BALA FINI GEL GOMA 90G MINNIE;UN;2094071;1.99;41.00;81.59 
2013;6;5;F;TARDE;3173-Q-12077;ELIMINADOR ODOR OZZ 500ML;UN;91498083;4.05;10.00;40.50 
2013;12;3;M;MANHÃ;3175-E-17184;OVO PASCOA ARCOR TORT N12 120 COPO;UN;96081;7.43;4.00;29.72 
2015;1;4;F;NOITE;3175-H-22680;TIGELA FACILITA HERMETICA 500ML;UN;943107;7.05;4.00;28.20 
2013;12;4;M;NOITE;3175-S-01841;CERV. XINGU LONG NECK 355ML;UN;3022;1.84;51.00;93.74 
2013;6;6;M;NOITE;3178-N-18507;POTE PLASUTIL INF MENINA 390ML;UN;14293;1.12;12.00;13.44 
2013;2;27;F;MANHÃ;3178-V-03137;NOZ MOSCADA KITANO BOLA 8G;UN;118090;1.45;18.00;26.10 
2013;4;2;M;MANHÃ;3178-V-09010;ALCOOL TUPI GEL 500G 46.2 TALCO;UN;91027022;2.02;28.00;56.56 
2015;5;4;F;MANHÃ;3181-T-18874;ARROZ INTEGRAL VITAO 500G GRAOS/SEM;KG;2026001;4.32;4.00;17.28 
2015;6;5;M;MANHÃ;3183-K-01773;SORVETE ST LUIGER 1L BAUNIL/FLOCOS;UN;1005012;3.96;9.00;35.64 
2014;7;9;M;NOITE;3184-F-09641;DESCOLORANTE YAMA 20G AMETISTA;UN;95033;2.04;26.00;53.13 
2015;2;21;F;TARDE;3184-Q-21143;PALETA PIF PAF CORDEIRO KG;KG;31020;18.36;2.78;51.03 
2015;10;18;F;TARDE;3186-I-01527;MOLHO QUERO 150ML INGLES;UN;19093012;0.72;123.00;88.56 
2015;10;15;F;TARDE;3187-V-20098;SOFIOLI QUIRIRIM 500G PRESUN/MUSSAR;UN;22091;5.83;7.00;40.78 
2015;9;10;M;NOITE;3188-Z-13300;CHA LEAO FUZE 15 NAT/LAR/CR 20%DESC;UN;9003090;5.65;4.00;22.60 
2013;12;7;M;MANHÃ;3189-E-21449;COFRE CORINTHIANS MINHA VIDA 304;UN;9096293;1.53;7.00;10.71 
2014;4;5;M;MANHÃ;3189-G-06317;CHOC. LACTA 70G LAKA;UN;1094071;1.52;16.00;24.32 
2015;8;6;F;NOITE;3193-F-13248;FACA COZINHA 5 PTO CART GZ048;UN;1291128;1.59;8.00;12.72 
2013;7;20;F;NOITE;3194-K-07966;BISCOITO AMANT PALITO BRANCO KG;KG;135091;9.97;3.49;34.80 
2015;6;20;M;NOITE;3194-Z-01285;MANJERONA KG;KG;9091121;7.79;1.91;14.88 
2014;3;13;M;MANHÃ;3196-X-23760;BOMBOM NESTLE 124.7G ESPECIALIDADES;UN;96081;1.97;9.00;17.73 
2015;1;2;F;MANHÃ;3199-L-09095;SAPONACEO MR MUSCULO CR 200ML LAR;UN;45043;1.99;12.00;23.88 
2013;10;29;F;MANHÃ;3199-V-08097;CANJICA YOKI 500G A VAPOR MILHO;UN;324011;2.52;20.00;50.30 
2015;2;10;F;MANHÃ;3200-A-15943;MAC. SEARA MENU 350G PENNE PARISIEN;UN;22091;2.24;6.00;13.44 
2013;2;5;M;MANHÃ;3200-B-18155;SH MONICA 550ML HUGGIES EXT/SUAV RF;UN;15033;6.33;8.00;50.61 
2013;4;27;M;MANHÃ;3202-V-01452;MAC. PETYBON 500G TORTINHO;UN;112091;0.97;63.00;61.11 
2014;1;25;F;NOITE;3206-K-03928;DIET SHAKE 400G MORANGO;UN;3096012;10.50;3.00;31.50 
2014;6;9;F;NOITE;3207-H-07587;QUEIJO DANUBIO CREM 130G CEB/ALHO;UN;9016040;2.69;19.00;51.02 
2015;8;7;F;TARDE;3210-I-22011;SEMENTE LINHACA KODILAR 200G;UN;9004021;1.26;18.00;22.59 
2015;10;9;F;MANHÃ;3210-O-11190;CREME HELLO KITTY 200ML P/P LISOS;UN;95033;4.49;5.00;22.45 
2015;12;21;F;MANHÃ;3211-L-05025;VELA FESTLAR ANIVERSA AZUL C/20;UN;6043;1.07;50.00;53.25 
2015;10;16;M;NOITE;3211-T-17354;CANECA OXFORD TULIPA CORES 330ML;UN;2196;2.84;7.00;19.88 
2015;3;30;F;NOITE;3214-N-08160;PILAO C/SOCADOR STA MONICA;UN;9144;2.79;9.00;25.07 
2013;6;11;F;MANHÃ;3215-G-07871;MB BOLO RENATA 400G FESTA;UN;21091;1.04;57.00;59.09 
2013;7;13;F;TARDE;3215-U-22211;BARRA KOBBER NUTS 50G UVA/PASSAS;UN;918002;2.67;11.00;29.37 
2014;12;5;M;MANHÃ;3216-S-08718;PENEIRA JAGUAR N07;UN;14293;0.81;25.00;20.25 
2014;7;28;M;MANHÃ;3218-D-07880;CD COLGATE 100G JUNIOR BARBIE;UN;16033;3.12;8.00;24.96 
2014;4;2;M;NOITE;3218-F-03411;PAPEL ALUMINIO FACILE 30X7.5;UN;1117067;0.94;29.00;27.26 
2014;7;23;F;MANHÃ;3218-K-02468;OSSO XISDOG MOLDADO PEQ;UN;15114;1.25;111.00;138.75 
2014;9;11;F;NOITE;3218-R-14381;CORANTE GUARANY PRETO 31 40G;UN;414023;0.78;17.00;13.26 
2013;10;18;F;TARDE;3219-O-07088;ALPINO NESTLE FAST 280ML;UN;92022;1.38;13.00;17.94 
2013;7;2;F;MANHÃ;3221-K-07743;TORNEIRA AUTOM STEFANI CLIC BCO/AZ;UN;11081848;1.74;18.00;31.32 
2013;7;3;F;MANHÃ;3221-K-07743;TORNEIRA AUTOM STEFANI CLIC BCO/AZ;UN;91081848;1.61;8.00;12.88 
2013;4;23;F;TARDE;3223-A-00830;TEMPERO ARISCO ALHO/SAL 300G;UN;12093012;1.36;90.00;122.58 
2015;8;10;F;NOITE;3223-E-04156;CANECA SANTANA 330ML;UN;14293;0.63;26.00;16.38 
2014;9;17;F;MANHÃ;3223-O-13117;FARINHA LINHACA MAE TERRA 150G MARR;UN;98021;1.58;59.00;93.22 
2015;9;26;F;TARDE;3223-O-13117;FARINHA LINHACA MAE TERRA 150G MARR;UN;9004021;1.58;41.00;64.78 
2015;12;3;M;TARDE;3224-V-11221;COOKIES VITALIN S/G 30G AMAR CACAU;UN;135091;0.87;33.00;28.71 
2014;7;4;M;NOITE;3227-I-00749;CREME YAMASTEROL BABOSA APLIC 320G;UN;95033;2.57;7.00;17.99 
2014;2;4;M;TARDE;3228-L-03991;AZEITONA RAIOLITA PRETA CP 100G;UN;75002;1.72;56.00;96.18 
2013;3;28;F;NOITE;3228-T-19085;CASTICAL AROMATIZ PORC 30ML 1302;UN;993107;6.45;3.00;19.35 
2013;9;5;F;TARDE;3230-E-21929;CEREAL SUPER BALLS 200G CHOC;UN;14091;2.18;5.00;10.90 
2013;10;3;F;TARDE;3230-Q-05916;ABRACAD NEDO ROSCA S/FIM 5/8 X 3/4;UN;9096237;1.00;17.00;17.00 
2013;8;21;M;MANHÃ;3230-R-06483;CESTO PRENDEDOR SANREMO 898;UN;94293;1.80;30.00;54.00 
2015;3;22;F;NOITE;3230-T-10318;TEMPERO ORUAM LIQ 500ML GALINHA;UN;12093012;2.40;23.00;55.28 
2013;3;2;M;MANHÃ;3231-H-22532;REQUEIJAO TIROLEZ 400G;UN;9016040;4.48;5.00;22.40 
2014;7;27;M;NOITE;3231-S-22953;RACAO MAGNUS CAT PRIMIUM 1KG FR/ARR;UN;1099032;8.01;4.00;32.04 
2015;10;17;F;MANHÃ;3233-A-04321;ANTIS/BUCAL ORAL B 250ML MENTA;UN;96033;6.45;6.00;38.67 
2015;10;16;M;MANHÃ;3233-N-13486;DOCE BANANINHA PARAIBUNA 23G S/ACUC;UN;9997002;0.77;96.00;73.92 
2014;4;10;M;TARDE;3234-L-08966;MAC. RENATA G DURO 500G INT FARFALE;UN;912091;2.04;12.00;24.48 
2013;6;24;M;TARDE;3236-R-02007;PIMENTA SIRIA (JAMAICA) GRAO KG;KG;224090;14.33;1.54;22.07 
2015;10;8;M;MANHÃ;3236-Y-18912;DR AXE ROLL ON 50ML BLACK;UN;1027033;3.66;20.00;73.20 
2013;3;27;F;MANHÃ;3237-J-01579;LMPD PRATICE 500ML SEDUCTION;UN;22043;1.65;56.00;92.62 
2015;12;12;F;NOITE;3237-P-20805;KIT LENCOS DAMAPEL POP SAFARI C/6;UN;28184;1.72;17.00;29.24 
2015;6;10;M;MANHÃ;3241-H-20907;SNACK MAE TERRA ORG 50G CHILI/SUAVE;UN;14091;1.07;47.00;50.13 
2014;1;9;F;NOITE;3241-M-24709;SAND HAV CASUAL CZA GELO/MARINHO;UN;22046;10.97;1.00;10.97 
2015;8;16;F;NOITE;3243-R-13244;OLEO EPILE ROSA MOSQUETA 10ML NAT;UN;1091033;6.65;4.00;26.60 
2015;2;27;M;TARDE;3244-A-18964;SH+COND PHYTOERVAS 250ML CONT/OLEO;UN;95033;12.06;1.00;12.06 
2014;8;3;F;TARDE;3245-S-02871;CHA BAN-CHA KG;KG;9091121;8.72;3.95;34.44 
2013;7;17;M;MANHÃ;3247-Q-02693;CANELA CHINA KITANO PO 8G;UN;26090;0.47;118.00;55.46 
2013;7;9;F;NOITE;3248-U-01644;MAC. ALFA UDON 500G;UN;912091;2.78;25.00;69.58 
2015;12;15;F;TARDE;3249-B-16791;LIMPA FERROS PASSAR MON BIJOU 100ML;UN;22043;3.10;8.00;24.80 
2015;3;29;M;TARDE;3249-B-16791;LIMPA FERROS PASSAR MON BIJOU 100ML;UN;94094283;2.82;15.00;42.23 
2014;6;24;F;TARDE;3249-P-03957;PROTETOR RODABRIL RAOS UV 200ML;UN;23910172;4.49;16.00;71.79 
2015;11;22;F;NOITE;3249-Q-22833;SOBREM. CHANDELLE 180G CHOCOLATE;UN;93040;1.49;13.00;19.37 
2013;8;20;M;TARDE;3250-G-12494;CAFE C/LEITE 3CORACOES LATA 265G;UN;211012;4.44;4.00;17.76 
2014;12;16;F;TARDE;3250-G-12494;CAFE C/LEITE 3CORACOES LATA 265G;UN;9091091;4.38;4.00;17.52 
2015;8;5;F;TARDE;3251-P-07742;CD COLGATE BARNEY SMILES 100G;UN;16033;2.91;28.00;81.34 
2015;8;16;M;NOITE;3251-P-23002;PAO ZINHO BOLINHA 300G LINGUICA/QJO;UN;9025091;3.79;15.00;56.85 
2015;3;7;F;NOITE;3252-P-04304;LMPD UAU 500ML MU ELIM ODORE;UN;22043;1.51;14.00;21.14 
2013;4;4;M;TARDE;3254-K-11188;SORVETE HAAGEN DAZS 100 STRAWBERRY;UN;1005012;3.67;6.00;22.02 
2013;6;8;M;MANHÃ;3257-U-19076;MORDEDOR CUPCAKE PET DG035;UN;9096293;1.21;10.00;12.10 
2015;4;12;F;MANHÃ;3258-D-03082;GRANOLA GRANOLEVIS S/ACUCAR 400G;UN;24091;3.24;18.00;58.32 
2015;2;5;M;TARDE;3258-R-17829;PAPRICA LA BARRACA DOCE 75GR LT;UN;224090;5.86;2.00;11.72 
2013;4;30;M;TARDE;3259-I-22386;LMPD BRILHANTE C/CL 500ML LAV/EUC;UN;22043;1.42;40.00;56.67 
2013;8;7;M;MANHÃ;3260-N-23596;PRATO BOLO MELANINA RED BONECO NEVE;UN;14293;3.08;8.00;24.64 
2014;6;9;M;TARDE;3262-G-20269;KIT CHURRASCO 3PCS IXB0827/6317;UN;1995128;9.34;2.00;18.68 
2013;6;21;M;NOITE;3263-F-17983;POLENGUINHO GRUYERE 68G C/4;UN;36040;1.51;14.00;21.14 
2013;7;5;M;TARDE;3265-A-16506;AMACIANTE AMACITEL 500ML CONC EXOT;UN;9199083;2.66;8.00;21.28 
2014;2;18;M;MANHÃ;3265-I-06015;GELATINA OETKER MINHA GEL 75G UVA;GR;92096012;1.15;122.00;140.06 
2013;4;6;M;NOITE;3266-A-05118;SB PO TIXAN 500G MACIEZ PLASTICO;UN;22043;1.33;23.00;30.59 
2013;3;17;F;NOITE;3266-C-23001;BATEDOR CLARA MASTE TRENDS COLOR;UN;393237;3.61;7.00;25.27 
2014;6;26;F;MANHÃ;3266-N-04212;POTE SANTANA HERMETICO PEQ 550ML;UN;14293;1.11;75.00;83.40 
2014;4;13;F;TARDE;3268-Z-23079;SH SEDA 325ML BRILHO GLOSS;UN;15033;3.44;9.00;30.96 
2015;7;14;M;TARDE;3269-D-03419;CHA OETKER 15G ABACAXI/HORTELA;UN;9091121;3.59;3.00;10.77 
2013;8;5;M;NOITE;3269-S-06286;GARRAFA AGUA JAGUAR 2 LT 0736;UN;14293;2.28;15.00;34.13 
2015;11;30;M;NOITE;3272-C-12926;CHA MAIS C/10 SC FRUTAS TROPICAIS;UN;9091121;2.07;5.00;10.35 
2015;5;30;M;NOITE;3272-K-19848;VINHO ARG FINCAS PRIV 750 TEMPRANIL;UN;11924022;10.67;1.00;10.67 
2014;7;15;F;NOITE;3274-F-00540;MAC. RENATA SUPERI 500G SPAGHET 8;UN;912091;2.40;11.00;26.40 
2014;2;7;M;TARDE;3274-V-06135;PRESTOBARBA GILLETTE 3 MASC C/4;UN;2012128;8.05;3.00;24.15 
2014;4;21;F;TARDE;3278-H-23581;PORTA COPO 6PCS 563178/563161;UN;9144;7.32;3.00;21.96 
2015;3;22;M;MANHÃ;3278-W-24263;PRENDEDOR DE ROUPAS PLASTICO C/6;UN;94293;1.53;11.00;16.83 
2015;10;14;M;NOITE;3279-F-24196;SAND IPANEMA CLASS MASC AD BCO;UN;22046;4.48;6.00;26.88 
2014;1;21;M;MANHÃ;3286-E-01662;CANECA JUMBO OXFORD 740ML PRETA;UN;2196;8.33;2.00;16.66 
2015;10;25;F;MANHÃ;3286-P-18873;MIX VITAO 150G GRAOS SEMENTES;UN;24091;4.01;7.00;28.07 
2014;9;17;F;NOITE;3286-P-18873;MIX VITAO 150G GRAOS SEMENTES;UN;3096012;4.01;5.00;20.05 
2014;4;19;M;TARDE;3287-E-02344;PIZZA PIF PAF 460G MUSSARELA;UN;9095091;3.71;13.00;48.23 
2015;1;24;F;MANHÃ;3289-D-18780;CHA NUTRIGOLD THERMO TEA 100G;UN;12090;2.37;25.00;59.25 
2014;12;23;M;NOITE;3292-D-04393;PEDRA SANIT GLADE 25G BOUQ LAVANDA;UN;91998083;1.07;23.00;24.61 
2013;12;13;M;NOITE;3293-G-01009;AGUARDENTE OLD CESAR 88 965ML;UN;48022;4.25;3.00;12.75 
2015;6;20;F;MANHÃ;3293-G-01009;AGUARDENTE OLD CESAR 88 965ML;UN;98022;4.37;6.00;26.22 
2014;3;14;F;NOITE;3294-W-13303;TORRADA WICKBOLD 140G 10GRA CAS/QUI;UN;45091;1.46;18.00;26.28 
2015;7;4;M;TARDE;3296-P-08449;FOLHADO FORNO MINAS 240G PRES/QJO;UN;9095091;2.75;35.00;96.32 
2015;9;14;M;MANHÃ;3296-Q-01584;MAC. PIRAQUE 1KG PADRE NOSSO;UN;912091;2.01;16.00;32.16 
2014;10;30;F;MANHÃ;3297-H-17102;ENFEITE VASO CERAMICA REGADOR ZP124;UN;9096237;3.05;9.00;27.45 
2015;11;24;M;NOITE;3297-Q-13434;MAC. MAE TERRA FUSILLI INTEG 200G;UN;912091;2.07;46.00;95.37 
2013;3;29;M;MANHÃ;3297-V-19266;FOLHAS DEPILSAM PRONT PERN C/20 MEL;UN;97033;4.29;3.00;12.87 
2013;12;17;F;TARDE;3297-Y-08468;CABIDE PRIMAFER PENDURA C/6;UN;94293;3.41;3.00;10.23 
2015;7;30;F;MANHÃ;3298-C-15649;POMADA KERAFORM SKAFE 50G 10X01;UN;95033;5.56;12.00;66.68 
2013;2;28;F;TARDE;3300-J-18524;AGUA MINERAL CRYSTAL VIP 350ML S/GA;UN;11022;0.62;149.00;92.38 
2014;9;30;M;TARDE;3302-Y-11100;SALG. PANCO PANQUITOS 50G CHURRASCO;UN;14091;0.53;191.00;101.61 
2015;5;22;M;MANHÃ;3302-Z-20801;PALITO WICK BOLD TICKROC 40G CAST/Q;UN;14091;0.93;30.00;27.90 
2015;2;3;F;MANHÃ;3307-J-06111;MAIONESE LIZA 250G ERVAS FINAS;UN;11093012;1.35;23.00;31.05 
2014;3;15;F;MANHÃ;3308-E-21827;ACUCAR DE COCO KG;KG;34011;28.04;0.50;14.02 
2015;1;2;M;TARDE;3308-V-04163;DC HERBISSIMO 55G FRESH;UN;9027033;1.10;21.00;23.10 
2013;2;25;F;TARDE;3310-O-01886;ESPONJA ACQUA PINK BANHO PONJITA;UN;9035086;2.08;20.00;41.50 
2014;4;12;M;MANHÃ;3312-E-24690;AGUA MINERAL MONEIRO LOBATO 510ML;UN;11022;0.37;44.00;16.28 
2014;11;28;M;TARDE;3313-Y-21921;SH CLEAR 200ML ANTICASPA QUEDA DEF;UN;15033;5.39;9.00;48.51 
2014;11;16;F;TARDE;3317-R-02927;HAMAMELIS KG;KG;42032;83.98;0.22;18.48 
2014;8;5;M;NOITE;3319-Y-10328;BLOQUEADOR NIVEA FPS30 200 TEX LEVE;UN;9994033;15.56;1.00;15.56 
2014;1;22;M;NOITE;3320-V-17269;OVO PASCOA LACTA BARBIE N12 100G;UN;96081;14.14;1.00;14.14 
2013;12;8;M;NOITE;3324-Q-18804;NESCAFE DOLCE GUSTO 120G ESP/BARIST;UN;211012;11.07;1.00;11.07 
2014;6;5;F;TARDE;3324-R-08180;DOCE LEITE PE DA SERRA 160G GOIABA;UN;2091091;1.18;44.00;51.92 
2014;10;18;F;NOITE;3325-Y-17176;BEBIDA LACTEA MELITA 250ML CHOCOBER;UN;92022;1.11;20.00;22.20 
2015;2;26;M;NOITE;3326-F-09209;FARINHA DE ARROZ MANINHO 1KG;UN;92011;1.87;12.00;22.44 
2014;6;5;M;TARDE;3327-J-04687;LEITE AVEIA DAVENE 180ML HIPOALERG;UN;9027033;2.80;7.00;19.60 
2014;12;29;M;MANHÃ;3327-Q-05303;HASTES FLEXIVEL DRAGON RANGERS C/75;UN;9121065;0.50;116.00;58.00 
2013;5;10;F;MANHÃ;3330-E-07874;BISC. RENATA 145G DESC RECH BRIG;UN;135091;0.55;55.00;30.25 
2014;3;15;F;TARDE;3332-M-13715;AMACIANTE DOWNY 500 C AUT/BEAUTY;UN;9199083;4.42;6.00;26.52 
